BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","Cederbaum97","Cederbaum, L. S.; Zobeley, J. & Tarantelli, F.","Giant Intermolecular Decay and Fragmentation of Clusters","Phys. Rev. Lett. ",79,,"","4778",1997,"","theory","","","","","","","American Physical Society","","","","","","","In sharp contrast to molecules, electronic states of clusters  with an excited intermediate-shell electron can efficiently decay via an  intermolecular Coulombic mechanism. Explicit examples are presented using large  scale <em>ab initio</em> propagator calculations. The mechanism is illustrated and its  generality is stressed.","","","",""
7,"","Zobeley98","Zobeley, J.; Cederbaum, L. S. & Tarantelli, F.","Highly excited electronic states of molecular clusters and their decay","J. Chem. Phys.",108,,"","9737",1998,"","theory","","","","","","","AIP","","","","","","","Highly excited electronic states of molecular clusters with intermediate-shell  vacancies are calculated and analyzed using large scale <em>ab initio</em> Green's function calculations.  In sharp contrast to molecules, an intermolecular Coulombic mechanism has been found to lead  to an ultrafast decay of singly and doubly ionized states with vacancies in the inner-valence  region. Small hydrogen-bonded (HF)<sub>n</sub> clusters (n=2--4) have been selected as explicit examples to  illustrate the proposed decay process, which does not occur in the HF monomer. The decay mechanism  and the main factors that exercise an influence on it are discussed. The corresponding decay  widths are estimated in selected cases, showing that the lifetimes of the states are of the order  of few femtoseconds. ","","","",""
7,"","Santra99","Santra, R.; Cederbaum, L. S. & Meyer, H.-D.","Electronic decay of molecular clusters: non-stationary states computed by standard quantum chemistry methods","Chem. Phys. Lett.",303,,"","413",1999,"","theory","","","","","","","Elsevier","","","","","","","Cationic inner valence states of molecular clusters have recently been shown to  decay via a novel intermolecular mechanism. To compute the lifetimes and energies of the  non-stationary states, we advocate the strategy to use standard quantum chemistry procedures  augmented by complex absorbing potentials. A new and efficient complex absorbing potential has  been implemented to take the non-compact geometry of a molecular cluster into account. Numerical  results obtained for (HF)<sub>2</sub><sup>+</sup> are presented.","","","",""
7,"","Zobeley99","Zobeley, J.; Cederbaum, L. S. & Tarantelli, F.","Intermolecular Coulombic Decay of Molecular Clusters: Identification of the Decay Mechanism Using a New Hole-Population Analysis","J. Phys. Chem. A",103,,"","11145",1999,"","theory","","","","","","","American Chemical Society","","","","","","","Singly ionized states of molecular clusters with an inner-valence vacancy have  recently been shown to undergo an efficient electronic decay. The mechanism of the decay,  which is absent in the isolated molecules that build up the clusters, is proposed to be of  intermolecular Coulombic nature. As explicit example to further investigate this new decay process, the valence ionization spectrum of the HF(H<sub>2</sub>O)<sub>2</sub> cluster is computed with the ADC(3)  one-particle Green's function method. In the inner-valence part of the spectrum, characteristic dense line  bundles due to the ultrafast electronic decay of the corresponding cationic states are observed.  A new hole-population analysis method for the very many computed cationic states is presented.  This method allows for a quantitative measure and characterization of the hole localization  pattern of the cationic states. The dense line bundles which mimic the continuous decay  distributions in our finite basis set approach are analyzed in detail. The resulting  intermolecular character of the states confirms the recently proposed intermolecular  Coulombic mechanism for the electronic decay in molecular clusters. The decay leads to dicationic  states with two vacancies located on neighboring monomer units.","","","",""
7,"","Santra00_3","Santra, R.; Zobeley, J. & Cederbaum, L. S.","Inner-valence ionization of molecular anions and ultrafast relaxation by electron emission","Chem. Phys. Lett.",324,,"","416",2000,"","theory","","","","","","","Elsevier","","","","","","","Relaxation mechanisms following inner-valence ionization of CN<sup>-</sup> are investigated  using <em>ab initio</em> quantum chemistry methods. Due to a severe failure of the molecular orbital picture,  there is a relatively large number of electronic states that are excited by ionization in the  inner-valence regime. Most of these states are found to decay by electron emission, resulting in  the formation of vibrationally bound CN<sup>+</sup>. General conclusions can be drawn concerning larger  molecular anions.","","","",""
7,"","Santra00_2","Santra, R.; Breidbach, J.; Zobeley, J. & Cederbaum, L. S.","Parallel filter diagonalization: A novel method to resolve quantum states in dense spectral regions","J. Chem. Phys.",112,,"","9243",2000,"","theory","","","","","","","AIP","","","","","","","A parallel version of D. Neuhauser's filter diagonalization algorithm is presented.  In contrast to the usual procedure of acting with a set of narrow filter operators on a single  or just a few initial vectors, parallelizability is achieved by working with a single, broad  filter operator and a correspondingly large number of initial vectors. Apart from the obvious  speedup in computation time, there is no need for communication between the processors involved  in the computation. Furthermore, because a significantly reduced number of matrix vector  multiplications is needed per initial vector, parallel filter diagonalization is numerically more  stable than the single processor approach. It is argued that this method is particularly attractive  for calculating eigenvectors of the large-scale secular matrices arising in quantum chemistry,  especially in dense spectral regions. An application to dense state distributions of a cationic  molecular cluster serves as an illustrative example. This is the first time filter diagonalization  is used as a tool for <em>ab initio</em> electronic structure calculations.","","","",""
7,"","Santra00_1","Santra, R.; Zobeley, J.; Cederbaum, L. S. & Moiseyev, N.","Interatomic Coulombic Decay in van der Waals Clusters and Impact of Nuclear Motion","Phys. Rev. Lett.",85,,"","4490",2000,"","theory","","","","","","","American Physical Society","","","","","","","It is demonstrated that excited van der Waals systems can relax by  electron emission via a novel interatomic mechanism. The process is analyzed by means of extensive <em>ab initio</em> calculations of potential energy surfaces and electronic decay rates. The electronic emission, taking place on the same time scale as the motion of the atomic nuclei, is accompanied by interesting dynamical effects amenable to experimental observations. These effects arise as a consequence of the weak chemical bond in van der Waals clusters and the Coulomb repulsion pattern originating from electron emission.","","","",""
7,"","Moiseyev01","Moiseyev, N.; Santra, R.; Zobeley, J. & Cederbaum, L. S.","Fingerprints of the nodal structure of autoionizing vibrational wave functions in clusters: Interatomic Coulombic decay in Ne dimer","J. Chem. Phys.",114,,"","7351",2001,"","theory","","","","","","","AIP","","","","","","","The removal of an inner-valence electron from neutral neon clusters leads to autoionization and subsequent fragmentation of the cationic clusters in accordance with the  interatomic Coulombic decay mechanism discovered recently. Using non-Hermitian quantum scattering  theory we investigate this process in detail for the Ne dimer. We show that a pronounced structure  can be observed when measuring the autoionizing electron or the Ne<sup>+</sup> kinetic energy distributions.  This phenomenon is associated with the properties of the vibrational autoionizing resonance states  of the electronically excited cationic dimer. By suppressing coherence among the different  vibrational autoionizing resonances, or by selectively exciting one of them, the structures in  the kinetic energy distributions become more pronounced. It is demonstrated that these structures  reflect the nodal structure of the wave functions of the autoionizing vibrational states most  populated by the initial ionization of the neutral neon dimer. In a coherent decay we encounter  substantial interference effects, but the nodal pattern of the corresponding wave functions is  still present. The kinetic energy distributions are generally very sensitive to details of the  potential energy curves of clusters.","","","",""
7,"","Santra01_2","Santra, R. & Cederbaum, L. S.","An efficient combination of computational techniques for investigating electronic resonance states in molecules","J. Chem. Phys.",115,,"","6853",2001,"","theory","","","","","","","AIP","","","","","","","Calculating electronic resonance states in molecules is a serious challenge to theory,  because the treatment of both the scattering and the many-electron problem is a formidable task.  A very promising approach, known as CAP/CI, consists of the combination of a complex absorbing  potential with the method of configuration interaction. In this paper we propose the combination  of three distinct computational techniques in order to boost the performance of CAP/CI. A complex  absorbing potential that can be adjusted flexibly to the geometry of the molecular scattering  target is presented and its representation in a Gaussian basis set is discussed. To handle the  large-scale complex symmetric eigenvalue problem arising in CAP/CI, a subspace projection method  is employed and its validity is shown. We advocate the use of parallel filter diagonalization for  calculating the eigenvectors required in the projection step. The proposed techniques are applied  to determine the lifetime of an autoionizing, inner-valence excited state of Ne<sub>2</sub><sup>+</sup>.","","","",""
7,"","Zobeley01","Zobeley, J.; Santra, R. & Cederbaum, L. S.","Electronic decay in weakly bound heteroclusters: Energy transfer versus electron transfer","J. Chem. Phys.",115,,"","5076",2001,"","theory","","","","","","","AIP","","","","","","","Inner-valence ionized states of weakly bound systems like van der Waals clusters  can efficiently decay by electron emission. The mechanism of the decay, which does not occur  in the isolated monomer units constituting the clusters has recently been shown to be of  intermolecular/interatomic nature. This intermolecular/interatomic Coulombic decay (ICD)  mechanism prevails in many systems ranging from hydrogen-bonded molecular clusters to atomic  rare gas clusters. In the present paper we extend our previous studies to weakly bound  heteroclusters built up of monomer units of largely differing energetics. It is shown that,  as soon as the double ionization potential of a monomer unit is lower in energy than the  ionization potential of the initially created inner-valence vacancy on a neighboring monomer  unit, an additional electronic decay process can take place. In contrast to the ICD mechanism,  which involves an efficient energy transfer between the monomer units, this second process is  essentially based on an electron transfer process. It is therefore termed electron-transfer  mediated decay (ETMD). We have analyzed the mechanisms of the electronic decay processes  taking place following inner-valence ionization in weakly bound heteroclusters in an exemplary  study of the NeAr dimer. The involved electronic states have been calculated using <em>ab initio</em>  Green's function techniques. The lifetime of the inner-valence Ne(2<em>s</em><sup>-1</sup>)Ar vacancy has been  estimated and partitioned according to the contributions of the two decay channels based on  a perturbation-theoretical description of the decay process. As a result, the lifetime of the  inner-valence resonance state is estimated to be of the order of 10-100 fs, the specific  value strongly depending on the internuclear separation of the monomers. The ICD process is  shown to be by far the dominant decay channel at distances corresponding to bound states of  the dimer. With decreasing internuclear separation the ratio of the ETMD and ICD decay widths  quickly increases over several orders of magnitude. ","","","",""
